Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
trimmed_Res2_DNA_I2_1_paired	trimmed_Res2_DNA_I2_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	58902380.0	0.0	75-126	46.0	84.49229268646596	124.09070462008496	pass	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass
trimmed_Res2_DNA_I2_2_paired	trimmed_Res2_DNA_I2_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	58902380.0	0.0	75-126	46.0	84.50663360634744	120.14973493430996	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
trimmed_Res2_DNA_I3_1_paired	trimmed_Res2_DNA_I3_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33653393.0	0.0	75-126	43.0	80.57665310212988	122.68947324271285	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
trimmed_Res2_DNA_I3_2_paired	trimmed_Res2_DNA_I3_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33653393.0	0.0	75-126	43.0	80.92915458282206	117.77364107090183	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
trimmed_Res2_DNA_I4_1_paired	trimmed_Res2_DNA_I4_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32875850.0	0.0	75-126	44.0	83.93651281948638	122.3812865674956	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
trimmed_Res2_DNA_I4_2_paired	trimmed_Res2_DNA_I4_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32875850.0	0.0	75-126	44.0	84.35110327895282	117.79870287764423	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
trimmed_Res2_DNA_I5_1_paired	trimmed_Res2_DNA_I5_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34686684.0	0.0	75-126	46.0	89.47276011319376	122.35335663680046	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
trimmed_Res2_DNA_I5_2_paired	trimmed_Res2_DNA_I5_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34686684.0	0.0	75-126	46.0	89.88202419081772	117.43192949778653	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
trimmed_Res2_DNA_I6_1_paired	trimmed_Res2_DNA_I6_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31540313.0	0.0	75-126	45.0	90.423708537672	122.26669709967685	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
trimmed_Res2_DNA_I6_2_paired	trimmed_Res2_DNA_I6_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31540313.0	0.0	75-126	44.0	91.05542927418878	117.3488962522344	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
trimmed_Res2_DNA_J1_1_paired	trimmed_Res2_DNA_J1_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35650738.0	0.0	75-126	45.0	83.72632201813123	123.0555957074437	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
trimmed_Res2_DNA_J1_2_paired	trimmed_Res2_DNA_J1_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35650738.0	0.0	75-126	45.0	84.39038514753102	118.45176461704663	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
trimmed_Res2_DNA_J2_1_paired	trimmed_Res2_DNA_J2_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34658677.0	0.0	75-126	42.0	73.56392492511254	122.58186064055475	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
trimmed_Res2_DNA_J2_2_paired	trimmed_Res2_DNA_J2_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34658677.0	0.0	75-126	41.0	74.28658485119888	118.65902388599542	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
trimmed_Res2_DNA_J4_1_paired	trimmed_Res2_DNA_J4_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31173054.0	0.0	75-126	44.0	87.55856510410399	122.52285284592264	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
trimmed_Res2_DNA_J4_2_paired	trimmed_Res2_DNA_J4_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31173054.0	0.0	75-126	44.0	88.08115010813314	117.09377714483797	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
trimmed_Res2_DNA_J5_1_paired	trimmed_Res2_DNA_J5_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32794682.0	0.0	75-126	45.0	86.23241324215047	122.3892657352189	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
trimmed_Res2_DNA_J5_2_paired	trimmed_Res2_DNA_J5_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32794682.0	0.0	75-126	44.0	86.73136545628053	117.7787716313273	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
trimmed_Res2_DNA_J6_1_paired	trimmed_Res2_DNA_J6_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34167727.0	0.0	75-126	47.0	88.57107280289614	122.45098744789199	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
trimmed_Res2_DNA_J6_2_paired	trimmed_Res2_DNA_J6_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34167727.0	0.0	75-126	47.0	89.12894439402717	117.59747518469695	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
