Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Started analysis of Res2_RNA_A1_1.fastq.gz
Started analysis of Res2_RNA_A1_2.fastq.gz
Started analysis of Res2_RNA_A2_1.fastq.gz
Started analysis of Res2_RNA_A2_2.fastq.gz
Started analysis of Res2_RNA_A3_1.fastq.gz
Started analysis of Res2_RNA_A3_2.fastq.gz
Approx 85% complete for Res2_RNA_B4_2.fastq.gz
Approx 65% complete for Res2_RNA_B6_2.fastq.gz
Approx 85% complete for Res2_RNA_B5_2.fastq.gz
Approx 90% complete for Res2_RNA_B5_1.fastq.gz
Approx 75% complete for Res2_RNA_B6_1.fastq.gz
Approx 95% complete for Res2_RNA_B4_1.fastq.gz
Approx 90% complete for Res2_RNA_B4_2.fastq.gz
Approx 95% complete for Res2_RNA_B5_1.fastq.gz
Approx 90% complete for Res2_RNA_B5_2.fastq.gz
Approx 70% complete for Res2_RNA_B6_2.fastq.gz
Approx 80% complete for Res2_RNA_B6_1.fastq.gz
Analysis complete for Res2_RNA_B4_1.fastq.gz
Started analysis of Res2_RNA_C1_1.fastq.gz
Approx 95% complete for Res2_RNA_B5_2.fastq.gz
Analysis complete for Res2_RNA_B5_1.fastq.gz
Approx 95% complete for Res2_RNA_B4_2.fastq.gz
Approx 75% complete for Res2_RNA_B6_2.fastq.gz
Approx 85% complete for Res2_RNA_B6_1.fastq.gz
Started analysis of Res2_RNA_C1_2.fastq.gz
Analysis complete for Res2_RNA_B5_2.fastq.gz
Approx 80% complete for Res2_RNA_B6_2.fastq.gz
Analysis complete for Res2_RNA_B4_2.fastq.gz
Started analysis of Res2_RNA_C2_1.fastq.gz
Approx 90% complete for Res2_RNA_B6_1.fastq.gz
Approx 5% complete for Res2_RNA_C1_1.fastq.gz
Started analysis of Res2_RNA_C2_2.fastq.gz
Approx 5% complete for Res2_RNA_C1_2.fastq.gz
Approx 85% complete for Res2_RNA_B6_2.fastq.gz
Approx 95% complete for Res2_RNA_B6_1.fastq.gz
Approx 5% complete for Res2_RNA_C2_1.fastq.gz
Approx 5% complete for Res2_RNA_C2_2.fastq.gz
Approx 10% complete for Res2_RNA_C1_1.fastq.gz
Approx 10% complete for Res2_RNA_C1_2.fastq.gz
Approx 90% complete for Res2_RNA_B6_2.fastq.gz
Approx 10% complete for Res2_RNA_C2_1.fastq.gz
Analysis complete for Res2_RNA_B6_1.fastq.gz
Started analysis of Res2_RNA_C3_1.fastq.gz
Approx 10% complete for Res2_RNA_C2_2.fastq.gz
Approx 15% complete for Res2_RNA_C1_1.fastq.gz
Approx 95% complete for Res2_RNA_B6_2.fastq.gz
Approx 15% complete for Res2_RNA_C2_1.fastq.gz
Approx 15% complete for Res2_RNA_C1_2.fastq.gz
Approx 15% complete for Res2_RNA_C2_2.fastq.gz
Approx 5% complete for Res2_RNA_C3_1.fastq.gz
Approx 20% complete for Res2_RNA_C2_1.fastq.gz
Analysis complete for Res2_RNA_B6_2.fastq.gz
Approx 20% complete for Res2_RNA_C1_1.fastq.gz
Started analysis of Res2_RNA_C3_2.fastq.gz
Approx 20% complete for Res2_RNA_C2_2.fastq.gz
Approx 20% complete for Res2_RNA_C1_2.fastq.gz
Approx 25% complete for Res2_RNA_C2_1.fastq.gz
Approx 10% complete for Res2_RNA_C3_1.fastq.gz
Approx 25% complete for Res2_RNA_C1_1.fastq.gz
Approx 25% complete for Res2_RNA_C2_2.fastq.gz
Approx 5% complete for Res2_RNA_C3_2.fastq.gz
Approx 25% complete for Res2_RNA_C1_2.fastq.gz
Approx 30% complete for Res2_RNA_C2_1.fastq.gz
Approx 15% complete for Res2_RNA_C3_1.fastq.gz
Approx 30% complete for Res2_RNA_C2_2.fastq.gz
Approx 30% complete for Res2_RNA_C1_1.fastq.gz
Approx 35% complete for Res2_RNA_C2_1.fastq.gz
Approx 10% complete for Res2_RNA_C3_2.fastq.gz
Approx 30% complete for Res2_RNA_C1_2.fastq.gz
Approx 35% complete for Res2_RNA_C2_2.fastq.gz
Approx 20% complete for Res2_RNA_C3_1.fastq.gz
Approx 40% complete for Res2_RNA_C2_1.fastq.gz
Approx 35% complete for Res2_RNA_C1_1.fastq.gz
Approx 40% complete for Res2_RNA_C2_2.fastq.gz
Approx 15% complete for Res2_RNA_C3_2.fastq.gz
Approx 35% complete for Res2_RNA_C1_2.fastq.gz
Approx 45% complete for Res2_RNA_C2_1.fastq.gz
Approx 25% complete for Res2_RNA_C3_1.fastq.gz
Approx 45% complete for Res2_RNA_C2_2.fastq.gz
Approx 40% complete for Res2_RNA_C1_1.fastq.gz
Approx 50% complete for Res2_RNA_C2_1.fastq.gz
Approx 20% complete for Res2_RNA_C3_2.fastq.gz
Approx 40% complete for Res2_RNA_C1_2.fastq.gz
Approx 50% complete for Res2_RNA_C2_2.fastq.gz
Approx 30% complete for Res2_RNA_C3_1.fastq.gz
Approx 45% complete for Res2_RNA_C1_1.fastq.gz
Approx 55% complete for Res2_RNA_C2_1.fastq.gz
Approx 25% complete for Res2_RNA_C3_2.fastq.gz
Approx 45% complete for Res2_RNA_C1_2.fastq.gz
Approx 55% complete for Res2_RNA_C2_2.fastq.gz
Approx 35% complete for Res2_RNA_C3_1.fastq.gz
Approx 60% complete for Res2_RNA_C2_1.fastq.gz
Approx 50% complete for Res2_RNA_C1_1.fastq.gz
Approx 60% complete for Res2_RNA_C2_2.fastq.gz
Approx 30% complete for Res2_RNA_C3_2.fastq.gz
Approx 50% complete for Res2_RNA_C1_2.fastq.gz
Approx 40% complete for Res2_RNA_C3_1.fastq.gz
Approx 65% complete for Res2_RNA_C2_1.fastq.gz
Approx 65% complete for Res2_RNA_C2_2.fastq.gz
Approx 55% complete for Res2_RNA_C1_1.fastq.gz
Approx 70% complete for Res2_RNA_C2_1.fastq.gz
Approx 35% complete for Res2_RNA_C3_2.fastq.gz
Approx 45% complete for Res2_RNA_C3_1.fastq.gz
Approx 55% complete for Res2_RNA_C1_2.fastq.gz
Approx 70% complete for Res2_RNA_C2_2.fastq.gz
Approx 75% complete for Res2_RNA_C2_1.fastq.gz
Approx 60% complete for Res2_RNA_C1_1.fastq.gz
Approx 40% complete for Res2_RNA_C3_2.fastq.gz
Approx 50% complete for Res2_RNA_C3_1.fastq.gz
Approx 75% complete for Res2_RNA_C2_2.fastq.gz
Approx 60% complete for Res2_RNA_C1_2.fastq.gz
Approx 80% complete for Res2_RNA_C2_1.fastq.gz
Approx 65% complete for Res2_RNA_C1_1.fastq.gz
Approx 80% complete for Res2_RNA_C2_2.fastq.gz
Approx 45% complete for Res2_RNA_C3_2.fastq.gz
Approx 55% complete for Res2_RNA_C3_1.fastq.gz
Approx 85% complete for Res2_RNA_C2_1.fastq.gz
Approx 65% complete for Res2_RNA_C1_2.fastq.gz
Approx 85% complete for Res2_RNA_C2_2.fastq.gz
Approx 70% complete for Res2_RNA_C1_1.fastq.gz
Approx 50% complete for Res2_RNA_C3_2.fastq.gz
Approx 60% complete for Res2_RNA_C3_1.fastq.gz
Approx 90% complete for Res2_RNA_C2_1.fastq.gz
Approx 90% complete for Res2_RNA_C2_2.fastq.gz
Approx 70% complete for Res2_RNA_C1_2.fastq.gz
Approx 75% complete for Res2_RNA_C1_1.fastq.gz
Approx 55% complete for Res2_RNA_C3_2.fastq.gz
Approx 95% complete for Res2_RNA_C2_1.fastq.gz
Approx 65% complete for Res2_RNA_C3_1.fastq.gz
Approx 95% complete for Res2_RNA_C2_2.fastq.gz
Approx 75% complete for Res2_RNA_C1_2.fastq.gz
Analysis complete for Res2_RNA_C2_1.fastq.gz
Approx 60% complete for Res2_RNA_C3_2.fastq.gz
Approx 70% complete for Res2_RNA_C3_1.fastq.gz
Approx 80% complete for Res2_RNA_C1_1.fastq.gz
Started analysis of Res2_RNA_C4_1.fastq.gz
Analysis complete for Res2_RNA_C2_2.fastq.gz
Started analysis of Res2_RNA_C4_2.fastq.gz
Approx 80% complete for Res2_RNA_C1_2.fastq.gz
Approx 5% complete for Res2_RNA_C4_1.fastq.gz
Approx 65% complete for Res2_RNA_C3_2.fastq.gz
Approx 75% complete for Res2_RNA_C3_1.fastq.gz
Approx 85% complete for Res2_RNA_C1_1.fastq.gz
Approx 5% complete for Res2_RNA_C4_2.fastq.gz
Approx 10% complete for Res2_RNA_C4_1.fastq.gz
Approx 70% complete for Res2_RNA_C3_2.fastq.gz
Approx 80% complete for Res2_RNA_C3_1.fastq.gz
Approx 85% complete for Res2_RNA_C1_2.fastq.gz
Approx 10% complete for Res2_RNA_C4_2.fastq.gz
Approx 90% complete for Res2_RNA_C1_1.fastq.gz
Approx 15% complete for Res2_RNA_C4_1.fastq.gz
Approx 85% complete for Res2_RNA_C3_1.fastq.gz
Approx 75% complete for Res2_RNA_C3_2.fastq.gz
Approx 90% complete for Res2_RNA_C1_2.fastq.gz
Approx 15% complete for Res2_RNA_C4_2.fastq.gz
Approx 20% complete for Res2_RNA_C4_1.fastq.gz
Approx 95% complete for Res2_RNA_C1_1.fastq.gz
Approx 80% complete for Res2_RNA_C3_2.fastq.gz
Approx 90% complete for Res2_RNA_C3_1.fastq.gz
Approx 20% complete for Res2_RNA_C4_2.fastq.gz
Approx 25% complete for Res2_RNA_C4_1.fastq.gz
Approx 95% complete for Res2_RNA_C1_2.fastq.gz
Analysis complete for Res2_RNA_C1_1.fastq.gz
Approx 85% complete for Res2_RNA_C3_2.fastq.gz
Approx 95% complete for Res2_RNA_C3_1.fastq.gz
Approx 25% complete for Res2_RNA_C4_2.fastq.gz
Approx 30% complete for Res2_RNA_C4_1.fastq.gz
Started analysis of Res2_RNA_C5_1.fastq.gz
Analysis complete for Res2_RNA_C1_2.fastq.gz
Approx 90% complete for Res2_RNA_C3_2.fastq.gz
Approx 30% complete for Res2_RNA_C4_2.fastq.gz
Approx 35% complete for Res2_RNA_C4_1.fastq.gz
Started analysis of Res2_RNA_C5_2.fastq.gz
Analysis complete for Res2_RNA_C3_1.fastq.gz
Approx 5% complete for Res2_RNA_C5_1.fastq.gz
Started analysis of Res2_RNA_C6_1.fastq.gz
Approx 35% complete for Res2_RNA_C4_2.fastq.gz
Approx 40% complete for Res2_RNA_C4_1.fastq.gz
Approx 95% complete for Res2_RNA_C3_2.fastq.gz
Approx 5% complete for Res2_RNA_C5_2.fastq.gz
Approx 5% complete for Res2_RNA_C6_1.fastq.gz
Approx 10% complete for Res2_RNA_C5_1.fastq.gz
Approx 40% complete for Res2_RNA_C4_2.fastq.gz
Approx 45% complete for Res2_RNA_C4_1.fastq.gz
Analysis complete for Res2_RNA_C3_2.fastq.gz
Started analysis of Res2_RNA_C6_2.fastq.gz
Approx 45% complete for Res2_RNA_C4_2.fastq.gz
Approx 10% complete for Res2_RNA_C5_2.fastq.gz
Approx 50% complete for Res2_RNA_C4_1.fastq.gz
Approx 10% complete for Res2_RNA_C6_1.fastq.gz
Approx 15% complete for Res2_RNA_C5_1.fastq.gz
Approx 50% complete for Res2_RNA_C4_2.fastq.gz
Approx 55% complete for Res2_RNA_C4_1.fastq.gz
Approx 5% complete for Res2_RNA_C6_2.fastq.gz
Approx 15% complete for Res2_RNA_C6_1.fastq.gz
Approx 15% complete for Res2_RNA_C5_2.fastq.gz
Approx 20% complete for Res2_RNA_C5_1.fastq.gz
Approx 60% complete for Res2_RNA_C4_1.fastq.gz
Approx 55% complete for Res2_RNA_C4_2.fastq.gz
Approx 10% complete for Res2_RNA_C6_2.fastq.gz
Approx 20% complete for Res2_RNA_C6_1.fastq.gz
Approx 20% complete for Res2_RNA_C5_2.fastq.gz
Approx 25% complete for Res2_RNA_C5_1.fastq.gz
Approx 65% complete for Res2_RNA_C4_1.fastq.gz
Approx 60% complete for Res2_RNA_C4_2.fastq.gz
Approx 25% complete for Res2_RNA_C6_1.fastq.gz
Approx 15% complete for Res2_RNA_C6_2.fastq.gz
Approx 70% complete for Res2_RNA_C4_1.fastq.gz
Approx 65% complete for Res2_RNA_C4_2.fastq.gz
Approx 30% complete for Res2_RNA_C5_1.fastq.gz
Approx 25% complete for Res2_RNA_C5_2.fastq.gz
Approx 30% complete for Res2_RNA_C6_1.fastq.gz
Approx 20% complete for Res2_RNA_C6_2.fastq.gz
Approx 75% complete for Res2_RNA_C4_1.fastq.gz
Approx 70% complete for Res2_RNA_C4_2.fastq.gz
Approx 35% complete for Res2_RNA_C5_1.fastq.gz
Approx 30% complete for Res2_RNA_C5_2.fastq.gz
Approx 35% complete for Res2_RNA_C6_1.fastq.gz
Approx 75% complete for Res2_RNA_C4_2.fastq.gz
Approx 25% complete for Res2_RNA_C6_2.fastq.gz
Approx 80% complete for Res2_RNA_C4_1.fastq.gz
Approx 40% complete for Res2_RNA_C5_1.fastq.gz
Approx 35% complete for Res2_RNA_C5_2.fastq.gz
Approx 40% complete for Res2_RNA_C6_1.fastq.gz
Approx 80% complete for Res2_RNA_C4_2.fastq.gz
Approx 85% complete for Res2_RNA_C4_1.fastq.gz
Approx 30% complete for Res2_RNA_C6_2.fastq.gz
Approx 45% complete for Res2_RNA_C5_1.fastq.gz
Approx 40% complete for Res2_RNA_C5_2.fastq.gz
Approx 85% complete for Res2_RNA_C4_2.fastq.gz
Approx 45% complete for Res2_RNA_C6_1.fastq.gz
Approx 90% complete for Res2_RNA_C4_1.fastq.gz
Approx 35% complete for Res2_RNA_C6_2.fastq.gz
Approx 50% complete for Res2_RNA_C5_1.fastq.gz
Approx 90% complete for Res2_RNA_C4_2.fastq.gz
Approx 95% complete for Res2_RNA_C4_1.fastq.gz
Approx 45% complete for Res2_RNA_C5_2.fastq.gz
Approx 50% complete for Res2_RNA_C6_1.fastq.gz
Approx 40% complete for Res2_RNA_C6_2.fastq.gz
Approx 95% complete for Res2_RNA_C4_2.fastq.gz
Analysis complete for Res2_RNA_C4_1.fastq.gz
Approx 55% complete for Res2_RNA_C5_1.fastq.gz
Approx 50% complete for Res2_RNA_C5_2.fastq.gz
Approx 55% complete for Res2_RNA_C6_1.fastq.gz
Started analysis of Res2_RNA_D1_1.fastq.gz
Approx 45% complete for Res2_RNA_C6_2.fastq.gz
Analysis complete for Res2_RNA_C4_2.fastq.gz
Approx 60% complete for Res2_RNA_C5_1.fastq.gz
Approx 5% complete for Res2_RNA_D1_1.fastq.gz
Approx 55% complete for Res2_RNA_C5_2.fastq.gz
Approx 60% complete for Res2_RNA_C6_1.fastq.gz
Started analysis of Res2_RNA_D1_2.fastq.gz
Approx 50% complete for Res2_RNA_C6_2.fastq.gz
Approx 10% complete for Res2_RNA_D1_1.fastq.gz
Approx 5% complete for Res2_RNA_D1_2.fastq.gz
Approx 65% complete for Res2_RNA_C5_1.fastq.gz
Approx 65% complete for Res2_RNA_C6_1.fastq.gz
Approx 60% complete for Res2_RNA_C5_2.fastq.gz
Approx 15% complete for Res2_RNA_D1_1.fastq.gz
Approx 55% complete for Res2_RNA_C6_2.fastq.gz
Approx 10% complete for Res2_RNA_D1_2.fastq.gz
Approx 70% complete for Res2_RNA_C6_1.fastq.gz
Approx 70% complete for Res2_RNA_C5_1.fastq.gz
Approx 65% complete for Res2_RNA_C5_2.fastq.gz
Approx 20% complete for Res2_RNA_D1_1.fastq.gz
Approx 15% complete for Res2_RNA_D1_2.fastq.gz
Approx 60% complete for Res2_RNA_C6_2.fastq.gz
Approx 75% complete for Res2_RNA_C6_1.fastq.gz
Approx 70% complete for Res2_RNA_C5_2.fastq.gz
Approx 75% complete for Res2_RNA_C5_1.fastq.gz
Approx 25% complete for Res2_RNA_D1_1.fastq.gz
Approx 20% complete for Res2_RNA_D1_2.fastq.gz
Approx 65% complete for Res2_RNA_C6_2.fastq.gz
Approx 30% complete for Res2_RNA_D1_1.fastq.gz
Approx 80% complete for Res2_RNA_C6_1.fastq.gz
Approx 25% complete for Res2_RNA_D1_2.fastq.gz
Approx 75% complete for Res2_RNA_C5_2.fastq.gz
Approx 80% complete for Res2_RNA_C5_1.fastq.gz
Approx 35% complete for Res2_RNA_D1_1.fastq.gz
Approx 70% complete for Res2_RNA_C6_2.fastq.gz
Approx 30% complete for Res2_RNA_D1_2.fastq.gz
Approx 85% complete for Res2_RNA_C6_1.fastq.gz
Approx 80% complete for Res2_RNA_C5_2.fastq.gz
Approx 85% complete for Res2_RNA_C5_1.fastq.gz
Approx 40% complete for Res2_RNA_D1_1.fastq.gz
Approx 35% complete for Res2_RNA_D1_2.fastq.gz
Approx 75% complete for Res2_RNA_C6_2.fastq.gz
Approx 90% complete for Res2_RNA_C6_1.fastq.gz
Approx 85% complete for Res2_RNA_C5_2.fastq.gz
Approx 90% complete for Res2_RNA_C5_1.fastq.gz
Approx 45% complete for Res2_RNA_D1_1.fastq.gz
Approx 40% complete for Res2_RNA_D1_2.fastq.gz
Approx 80% complete for Res2_RNA_C6_2.fastq.gz
Approx 95% complete for Res2_RNA_C6_1.fastq.gz
Approx 50% complete for Res2_RNA_D1_1.fastq.gz
Approx 90% complete for Res2_RNA_C5_2.fastq.gz
Approx 45% complete for Res2_RNA_D1_2.fastq.gz
Approx 95% complete for Res2_RNA_C5_1.fastq.gz
Approx 85% complete for Res2_RNA_C6_2.fastq.gz
Approx 55% complete for Res2_RNA_D1_1.fastq.gz
Approx 50% complete for Res2_RNA_D1_2.fastq.gz
Analysis complete for Res2_RNA_C6_1.fastq.gz
Approx 95% complete for Res2_RNA_C5_2.fastq.gz
Analysis complete for Res2_RNA_C5_1.fastq.gz
Started analysis of Res2_RNA_D2_1.fastq.gz
Approx 60% complete for Res2_RNA_D1_1.fastq.gz
Approx 55% complete for Res2_RNA_D1_2.fastq.gz
Started analysis of Res2_RNA_D2_2.fastq.gz
Approx 90% complete for Res2_RNA_C6_2.fastq.gz
Approx 5% complete for Res2_RNA_D2_1.fastq.gz
Analysis complete for Res2_RNA_C5_2.fastq.gz
Approx 5% complete for Res2_RNA_D2_2.fastq.gz
Approx 60% complete for Res2_RNA_D1_2.fastq.gz
Approx 65% complete for Res2_RNA_D1_1.fastq.gz
Started analysis of Res2_RNA_D3_1.fastq.gz
Approx 10% complete for Res2_RNA_D2_1.fastq.gz
Approx 95% complete for Res2_RNA_C6_2.fastq.gz
Approx 10% complete for Res2_RNA_D2_2.fastq.gz
Approx 70% complete for Res2_RNA_D1_1.fastq.gz
Approx 65% complete for Res2_RNA_D1_2.fastq.gz
Approx 15% complete for Res2_RNA_D2_1.fastq.gz
Approx 5% complete for Res2_RNA_D3_1.fastq.gz
Approx 15% complete for Res2_RNA_D2_2.fastq.gz
Analysis complete for Res2_RNA_C6_2.fastq.gz
Approx 70% complete for Res2_RNA_D1_2.fastq.gz
Approx 75% complete for Res2_RNA_D1_1.fastq.gz
Approx 20% complete for Res2_RNA_D2_1.fastq.gz
Started analysis of Res2_RNA_D3_2.fastq.gz
Approx 10% complete for Res2_RNA_D3_1.fastq.gz
Approx 20% complete for Res2_RNA_D2_2.fastq.gz
Approx 75% complete for Res2_RNA_D1_2.fastq.gz
Approx 80% complete for Res2_RNA_D1_1.fastq.gz
Approx 25% complete for Res2_RNA_D2_1.fastq.gz
Approx 5% complete for Res2_RNA_D3_2.fastq.gz
Approx 15% complete for Res2_RNA_D3_1.fastq.gz
Approx 25% complete for Res2_RNA_D2_2.fastq.gz
Approx 30% complete for Res2_RNA_D2_1.fastq.gz
Approx 80% complete for Res2_RNA_D1_2.fastq.gz
Approx 85% complete for Res2_RNA_D1_1.fastq.gz
Approx 30% complete for Res2_RNA_D2_2.fastq.gz
Approx 20% complete for Res2_RNA_D3_1.fastq.gz
Approx 10% complete for Res2_RNA_D3_2.fastq.gz
Approx 35% complete for Res2_RNA_D2_1.fastq.gz
Approx 85% complete for Res2_RNA_D1_2.fastq.gz
Approx 90% complete for Res2_RNA_D1_1.fastq.gz
Approx 35% complete for Res2_RNA_D2_2.fastq.gz
Approx 25% complete for Res2_RNA_D3_1.fastq.gz
Approx 40% complete for Res2_RNA_D2_1.fastq.gz
Approx 15% complete for Res2_RNA_D3_2.fastq.gz
Approx 90% complete for Res2_RNA_D1_2.fastq.gz
Approx 95% complete for Res2_RNA_D1_1.fastq.gz
Approx 40% complete for Res2_RNA_D2_2.fastq.gz
Approx 30% complete for Res2_RNA_D3_1.fastq.gz
Approx 45% complete for Res2_RNA_D2_1.fastq.gz
Approx 20% complete for Res2_RNA_D3_2.fastq.gz
Approx 95% complete for Res2_RNA_D1_2.fastq.gz
Approx 45% complete for Res2_RNA_D2_2.fastq.gz
Analysis complete for Res2_RNA_D1_1.fastq.gz
Approx 35% complete for Res2_RNA_D3_1.fastq.gz
Approx 50% complete for Res2_RNA_D2_1.fastq.gz
Started analysis of Res2_RNA_D4_1.fastq.gz
Approx 25% complete for Res2_RNA_D3_2.fastq.gz
Approx 50% complete for Res2_RNA_D2_2.fastq.gz
Analysis complete for Res2_RNA_D1_2.fastq.gz
Approx 40% complete for Res2_RNA_D3_1.fastq.gz
Approx 55% complete for Res2_RNA_D2_1.fastq.gz
Started analysis of Res2_RNA_D4_2.fastq.gz
Approx 5% complete for Res2_RNA_D4_1.fastq.gz
Approx 30% complete for Res2_RNA_D3_2.fastq.gz
Approx 55% complete for Res2_RNA_D2_2.fastq.gz
Approx 45% complete for Res2_RNA_D3_1.fastq.gz
Approx 60% complete for Res2_RNA_D2_1.fastq.gz
Approx 5% complete for Res2_RNA_D4_2.fastq.gz
Approx 10% complete for Res2_RNA_D4_1.fastq.gz
Approx 60% complete for Res2_RNA_D2_2.fastq.gz
Approx 35% complete for Res2_RNA_D3_2.fastq.gz
Approx 50% complete for Res2_RNA_D3_1.fastq.gz
Approx 65% complete for Res2_RNA_D2_1.fastq.gz
Approx 15% complete for Res2_RNA_D4_1.fastq.gz
Approx 10% complete for Res2_RNA_D4_2.fastq.gz
Approx 65% complete for Res2_RNA_D2_2.fastq.gz
Approx 40% complete for Res2_RNA_D3_2.fastq.gz
Approx 70% complete for Res2_RNA_D2_1.fastq.gz
Approx 55% complete for Res2_RNA_D3_1.fastq.gz
Approx 70% complete for Res2_RNA_D2_2.fastq.gz
Approx 20% complete for Res2_RNA_D4_1.fastq.gz
Approx 15% complete for Res2_RNA_D4_2.fastq.gz
Approx 75% complete for Res2_RNA_D2_1.fastq.gz
Approx 45% complete for Res2_RNA_D3_2.fastq.gz
Approx 60% complete for Res2_RNA_D3_1.fastq.gz
Approx 75% complete for Res2_RNA_D2_2.fastq.gz
Approx 80% complete for Res2_RNA_D2_1.fastq.gz
Approx 25% complete for Res2_RNA_D4_1.fastq.gz
Approx 20% complete for Res2_RNA_D4_2.fastq.gz
Approx 50% complete for Res2_RNA_D3_2.fastq.gz
Approx 65% complete for Res2_RNA_D3_1.fastq.gz
Approx 80% complete for Res2_RNA_D2_2.fastq.gz
Approx 85% complete for Res2_RNA_D2_1.fastq.gz
Approx 30% complete for Res2_RNA_D4_1.fastq.gz
Approx 70% complete for Res2_RNA_D3_1.fastq.gz
Approx 55% complete for Res2_RNA_D3_2.fastq.gz
Approx 25% complete for Res2_RNA_D4_2.fastq.gz
Approx 85% complete for Res2_RNA_D2_2.fastq.gz
Approx 90% complete for Res2_RNA_D2_1.fastq.gz
Approx 35% complete for Res2_RNA_D4_1.fastq.gz
Approx 75% complete for Res2_RNA_D3_1.fastq.gz
Approx 60% complete for Res2_RNA_D3_2.fastq.gz
Approx 30% complete for Res2_RNA_D4_2.fastq.gz
Approx 90% complete for Res2_RNA_D2_2.fastq.gz
Approx 95% complete for Res2_RNA_D2_1.fastq.gz
Approx 80% complete for Res2_RNA_D3_1.fastq.gz
Approx 40% complete for Res2_RNA_D4_1.fastq.gz
Approx 65% complete for Res2_RNA_D3_2.fastq.gz
Approx 35% complete for Res2_RNA_D4_2.fastq.gz
Approx 95% complete for Res2_RNA_D2_2.fastq.gz
Analysis complete for Res2_RNA_D2_1.fastq.gz
Started analysis of Res2_RNA_D5_1.fastq.gz
Approx 85% complete for Res2_RNA_D3_1.fastq.gz
Approx 45% complete for Res2_RNA_D4_1.fastq.gz
Approx 70% complete for Res2_RNA_D3_2.fastq.gz
Approx 40% complete for Res2_RNA_D4_2.fastq.gz
Analysis complete for Res2_RNA_D2_2.fastq.gz
Started analysis of Res2_RNA_D5_2.fastq.gz
Approx 90% complete for Res2_RNA_D3_1.fastq.gz
Approx 50% complete for Res2_RNA_D4_1.fastq.gz
Approx 5% complete for Res2_RNA_D5_1.fastq.gz
Approx 75% complete for Res2_RNA_D3_2.fastq.gz
Approx 45% complete for Res2_RNA_D4_2.fastq.gz
Approx 95% complete for Res2_RNA_D3_1.fastq.gz
Approx 5% complete for Res2_RNA_D5_2.fastq.gz
Approx 55% complete for Res2_RNA_D4_1.fastq.gz
Approx 80% complete for Res2_RNA_D3_2.fastq.gz
Approx 10% complete for Res2_RNA_D5_1.fastq.gz
Approx 50% complete for Res2_RNA_D4_2.fastq.gz
Analysis complete for Res2_RNA_D3_1.fastq.gz
Approx 60% complete for Res2_RNA_D4_1.fastq.gz
Approx 85% complete for Res2_RNA_D3_2.fastq.gz
Approx 55% complete for Res2_RNA_D4_2.fastq.gz
Started analysis of Res2_RNA_D6_1.fastq.gz
Approx 10% complete for Res2_RNA_D5_2.fastq.gz
Approx 15% complete for Res2_RNA_D5_1.fastq.gz
Approx 65% complete for Res2_RNA_D4_1.fastq.gz
Approx 90% complete for Res2_RNA_D3_2.fastq.gz
Approx 60% complete for Res2_RNA_D4_2.fastq.gz
Approx 5% complete for Res2_RNA_D6_1.fastq.gz
Approx 20% complete for Res2_RNA_D5_1.fastq.gz
Approx 15% complete for Res2_RNA_D5_2.fastq.gz
Approx 70% complete for Res2_RNA_D4_1.fastq.gz
Approx 95% complete for Res2_RNA_D3_2.fastq.gz
Approx 10% complete for Res2_RNA_D6_1.fastq.gz
Approx 65% complete for Res2_RNA_D4_2.fastq.gz
Approx 25% complete for Res2_RNA_D5_1.fastq.gz
Approx 75% complete for Res2_RNA_D4_1.fastq.gz
Approx 20% complete for Res2_RNA_D5_2.fastq.gz
Approx 15% complete for Res2_RNA_D6_1.fastq.gz
Analysis complete for Res2_RNA_D3_2.fastq.gz
Approx 70% complete for Res2_RNA_D4_2.fastq.gz
Started analysis of Res2_RNA_D6_2.fastq.gz
Approx 80% complete for Res2_RNA_D4_1.fastq.gz
Approx 20% complete for Res2_RNA_D6_1.fastq.gz
Approx 75% complete for Res2_RNA_D4_2.fastq.gz
Approx 30% complete for Res2_RNA_D5_1.fastq.gz
Approx 25% complete for Res2_RNA_D5_2.fastq.gz
Approx 5% complete for Res2_RNA_D6_2.fastq.gz
Approx 85% complete for Res2_RNA_D4_1.fastq.gz
Approx 25% complete for Res2_RNA_D6_1.fastq.gz
Approx 80% complete for Res2_RNA_D4_2.fastq.gz
Approx 35% complete for Res2_RNA_D5_1.fastq.gz
Approx 10% complete for Res2_RNA_D6_2.fastq.gz
Approx 30% complete for Res2_RNA_D5_2.fastq.gz
Approx 30% complete for Res2_RNA_D6_1.fastq.gz
Approx 90% complete for Res2_RNA_D4_1.fastq.gz
Approx 85% complete for Res2_RNA_D4_2.fastq.gz
Approx 15% complete for Res2_RNA_D6_2.fastq.gz
Approx 40% complete for Res2_RNA_D5_1.fastq.gz
Approx 35% complete for Res2_RNA_D6_1.fastq.gz
Approx 95% complete for Res2_RNA_D4_1.fastq.gz
Approx 35% complete for Res2_RNA_D5_2.fastq.gz
Approx 90% complete for Res2_RNA_D4_2.fastq.gz
Approx 20% complete for Res2_RNA_D6_2.fastq.gz
Approx 45% complete for Res2_RNA_D5_1.fastq.gz
Approx 40% complete for Res2_RNA_D6_1.fastq.gz
Analysis complete for Res2_RNA_D4_1.fastq.gz
Approx 95% complete for Res2_RNA_D4_2.fastq.gz
Approx 40% complete for Res2_RNA_D5_2.fastq.gz
Approx 25% complete for Res2_RNA_D6_2.fastq.gz
